timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1675209587,1724383044.8489358606686509986099,5431792602.768713381097974656497389,5431792602.768713381097974656497389
1675295915,1761161050.856472029745225859525172,5557498681.175216154281203487733749,5557498681.175216154281203487733749
1675382171,1776066983.519710853379486835474263,5572058787.234558866737278113196729,5572058787.234558866737278113196729
1675468367,1795402434.645530771684308200130512,5614150819.680034510898978286178678,5614150819.680034510898978286178678
1675554875,1800283026.474358925844185401816906,5592432179.352359488604380767496557,5592432179.352359488604380767496557
1675641443,1775967682.912476303506908192778456,5469032237.337303466713882990262203,5469032237.337303466713882990262203
1675727915,1744484080.890421527293728921462874,5428910557.54584212902404530625908,5428910557.54584212902404530625908
1675814351,1777526754.840773629693127267334007,5530347578.094411874976392332020925,5530347578.094411874976392332020925
1675900211,1782364915.639571302748073214146891,5482879923.172046329647524296379084,5482879923.172046329647524296379084
1675987043,1704720720.638786203299002408931826,5212198647.305312690366711270408115,5212198647.305312690366711270408115
1676073575,1651898967.257134273688504331486378,5051865374.266665401805770610472682,5051865374.266665401805770610472682
1676159651,1661256290.681561956222545347535224,5158946704.895052450328467676938892,5158946704.895052450328467676938892
1676246351,1618387366.622882628833110999408057,5042884868.94145823587545566487952,5042884868.94145823587545566487952
1676332343,1719410848.878448670269185540174656,5238501762.518638003755868360396526,5238501762.518638003755868360396526
1676419187,1740989483.342785247557242726376958,5351668744.939897397355360600491974,5351668744.939897397355360600491974
1676505395,1815302475.99443902896766967620891,5662678913.228024397086215185534661,5662678913.228024397086215185534661
1676591999,1801311977.510970458933041805585388,5650856925.090076900038106276131254,5650856925.090076900038106276131254
1676678291,1772161881.101853315809308677802503,5739034118.334613578837971099745009,5739034118.334613578837971099745009
1676764667,1791991555.050959597572048332551529,5746510261.978309816480452694479349,5746510261.978309816480452694479349
1676850815,1784674092.451454986920278139113949,5703906452.407633427551767831122571,5703906452.407633427551767831122571
1676937575,1791473205.487690174743651052301951,5668260657.281159644988503419533202,5668260657.281159644988503419533202
1677023927,1780433246.165897897540036528287027,5574928210.709356762466271746517733,5574928210.709356762466271746517733
1677110279,1776900869.217398717330036442391124,5534548251.203733233560600456902491,5534548251.203733233560600456902491
1677196691,1793492866.766424359676087680580563,5582145737.013384945567007152059938,5582145737.013384945567007152059938
1677282839,1763895848.888224703917686393790795,5460137586.151418492486190601818362,5460137586.151418492486190601818362
1677369515,1740532785.755210954883898938881143,5392732242.874561014333290218578308,5392732242.874561014333290218578308
1677455735,1756246828.907128530837401496985851,5517060599.929079356555357775341233,5517060599.929079356555357775341233
1677542399,1728033267.184701984951508177806666,5529764846.374232284346721161715812,5529764846.374232284346721161715812
1677628703,1709753392.93236164807657824375677,5404978560.814799108834435267369333,5404978560.814799108834435267369333
1677714719,1757803628.700240970505452553113736,5499403644.400002095899669833556248,5499403644.400002095899669833556248
1677801263,1691409352.358760710623472349068737,5388264077.481939112681925972427548,5388264077.481939112681925972427548
1677887747,1670119816.236843093482633320801227,5186504691.223208934022868940565224,5186504691.223208934022868940565224
1677974303,1644900333.621549152545417732136784,5320162940.028365930707922448116626,5320162940.028365930707922448116626
1678060547,1650236818.420163673309935575968097,5344604895.770947215435536833514994,5344604895.770947215435536833514994
1678146515,1700071870.770522304659293100860089,5365676703.944475730799950960255488,5365676703.944475730799950960255488
1678233287,1694269043.137852277082543370110137,5296003134.655425223908160775153762,5296003134.655425223908160775153762
1678319963,1640327304.839286211941360949235148,5263113511.610524452981419435668452,5263113511.610524452981419435668452
1678406255,1583991376.995807071184172187863742,5109262884.398713632943191257426865,5109262884.398713632943191257426865
1678492799,1575250805.249335419384595361549228,4964109644.405477338802422340960167,4964109644.405477338802422340960167
1678579199,1789833773.696042449722632069651079,5384177880.124219869123755939161332,5384177880.124219869123755939161332
1678665587,2041689670.190054437552104216416358,5948821112.755847566927268048518627,5948821112.755847566927268048518627
1678751879,2035003285.421588170086531269228176,6081187590.648099301396163319318773,6081187590.648099301396163319318773
1678838327,1914572834.186951540403826494881773,5896341331.021344973267515990474122,5896341331.021344973267515990474122
1678924439,1876102787.225957369582676960936389,5782834844.099674562788498113465451,5782834844.099674562788498113465451
1679011199,1828422805.19782626722828995954387,5605230527.580447002327142447156696,5605230527.580447002327142447156696
1679097587,1886018155.872976957053165696124049,5921349438.732103087175359024045209,5921349438.732103087175359024045209
1679183999,1871704597.436681551663598478090018,6042518912.453622052855638149358799,6042518912.453622052855638149358799
