timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1648856641,253103073.2904527217894472203559644,355971772.0356323201351536116028635,355971772.0356323201351536116028635
1648943180,257114225.715653325257730716205244,359223897.4497986828768412212042288,359223897.4497986828768412212042288
1649029559,307576725.8468269498328573116150281,412383479.6664588326752529753006755,412383479.6664588326752529753006755
1649109455,313923216.8402898714065456164327774,425401632.6647332229109097913299432,425401632.6647332229109097913299432
1649203180,294182186.1257646531180749513489157,398028654.6254676171346990005249756,398028654.6254676171346990005249756
1649287631,285218597.4107530385604921207318154,385192727.5475902931141191840555034,385192727.5475902931141191840555034
1649375950,311563390.1857965757918478634861284,417446632.0825408555114065550160281,417446632.0825408555114065550160281
1649462049,325341536.5051609424020756979141874,430501318.4532167258970595155326613,430501318.4532167258970595155326613
1649548795,333412267.5482586692501111445748155,439167302.1207050968334701981160666,439167302.1207050968334701981160666
1649633281,333845155.2300715810268296400229023,438438066.4010706688199789201740051,438438066.4010706688199789201740051
1649720558,326888175.3867006130921122228858827,430922293.1179473468872979844197671,430922293.1179473468872979844197671
1649807818,355608802.6635711659806173170354884,466379529.6874983481775314783687162,466379529.6874983481775314783687162
1649892218,336671108.862521130520035051702511,448785404.7079732677580007366697807,448785404.7079732677580007366697807
1649980749,334530489.0652139029584210068437966,446485010.2134107732091079435966059,446485010.2134107732091079435966059
1650066985,333494633.6943225544729343779211542,450785141.2889581798464135139354202,450785141.2889581798464135139354202
1650152907,335308670.7000429079601620659257657,452303973.4907890074617725297909457,452303973.4907890074617725297909457
1650233359,301226094.930835838481723432660841,418750298.2497235563467601781801687,418750298.2497235563467601781801687
1650321725,318879841.2078315697376587662861277,437582330.9172091890667878621557743,437582330.9172091890667878621557743
1650411987,308675401.7473763810599256280064212,421537090.8569586437630744015585714,421537090.8569586437630744015585714
1650497219,305713922.3306110913004247952341723,411356548.1948374217358669057957172,411356548.1948374217358669057957172
1650585212,305233010.7761378848208040283532111,408485451.5982997311135283745281093,408485451.5982997311135283745281093
1650667923,298817702.3884558801295620110099555,399263759.686940450538358083731053,399263759.686940450538358083731053
1650753625,292850658.4716569455199691674070842,393052957.642627657882860787431882,393052957.642627657882860787431882
1650841768,270724561.7405193195960214145508962,369084750.6232730321332394053771962,369084750.6232730321332394053771962
1650929579,253373033.077524831115502319144274,348778501.7291128585447186260216204,348778501.7291128585447186260216204
1651016363,249616743.9443008461580148425256728,340926863.951439433535748197250696,340926863.951439433535748197250696
1651071197,252184574.9658017152692397250227923,344220494.1693393453171688944488471,344220494.1693393453171688944488471
1651187742,251548688.8916672722963145998483668,338643194.4110028104760098495042797,338643194.4110028104760098495042797
1651275329,242180418.4994731856786313011634231,324413059.1635329733522049121227957,324413059.1635329733522049121227957
1651362654,219390693.4200870355100911203309363,290918675.9392274560810778503695016,290918675.9392274560810778503695016
1651448400,222329292.5978364062219923895438327,295343175.5220335860985719956806908,295343175.5220335860985719956806908
1651534125,216025941.2190356751968306583249634,290661302.5151452971031091112102624,290661302.5151452971031091112102624
1651618416,216133409.8005263863187642486263323,289452574.8184215560645365983411763,289452574.8184215560645365983411763
1651707621,214581777.8610142743091185345807346,289622809.850827592132761636321583,289622809.850827592132761636321583
1651794394,207948864.0011895331347248565278876,280240992.6527321090444483261398452,280240992.6527321090444483261398452
1651880253,183312511.7539010797837143119573495,254639185.8061477974814707728471215,254639185.8061477974814707728471215
1651967944,185336208.8093157530472736531421901,256165052.3415165337316108980590957,256165052.3415165337316108980590957
1652054212,196088835.5438692298715419089998963,270124880.2499851025250574109390802,270124880.2499851025250574109390802
